Network,f,K,Predictor,Precision,Recall
Caltech36,0.05,50,Common neighbors,0.42,0.025240384615384616
Caltech36,0.05,50,Jaccard,0.28,0.016826923076923076
Caltech36,0.05,50,Adamic/Adar,0.42,0.025240384615384616
Caltech36,0.05,100,Common neighbors,0.35,0.042067307692307696
Caltech36,0.05,100,Jaccard,0.28,0.03365384615384615
Caltech36,0.05,100,Adamic/Adar,0.36,0.04326923076923077
Caltech36,0.05,200,Common neighbors,0.295,0.07091346153846154
Caltech36,0.05,200,Jaccard,0.275,0.06610576923076923
Caltech36,0.05,200,Adamic/Adar,0.295,0.07091346153846154
Caltech36,0.05,300,Common neighbors,0.25,0.09014423076923077
Caltech36,0.05,300,Jaccard,0.24,0.08653846153846154
Caltech36,0.05,300,Adamic/Adar,0.26,0.09375
Caltech36,0.05,400,Common neighbors,0.225,0.10817307692307693
Caltech36,0.05,400,Jaccard,0.2175,0.1045673076923077
Caltech36,0.05,400,Adamic/Adar,0.23,0.11057692307692307
Caltech36,0.1,50,Common neighbors,0.62,0.018618618618618618
Caltech36,0.1,50,Jaccard,0.48,0.014414414414414415
Caltech36,0.1,50,Adamic/Adar,0.68,0.02042042042042042
Caltech36,0.1,100,Common neighbors,0.57,0.03423423423423423
Caltech36,0.1,100,Jaccard,0.46,0.02762762762762763
Caltech36,0.1,100,Adamic/Adar,0.59,0.03543543543543543
Caltech36,0.1,200,Common neighbors,0.54,0.06486486486486487
Caltech36,0.1,200,Jaccard,0.365,0.04384384384384384
Caltech36,0.1,200,Adamic/Adar,0.55,0.06606606606606606
Caltech36,0.1,300,Common neighbors,0.48333333333333334,0.08708708708708708
Caltech36,0.1,300,Jaccard,0.37,0.06666666666666667
Caltech36,0.1,300,Adamic/Adar,0.5066666666666667,0.0912912912912913
Caltech36,0.1,400,Common neighbors,0.4525,0.1087087087087087
Caltech36,0.1,400,Jaccard,0.3775,0.09069069069069069
Caltech36,0.1,400,Adamic/Adar,0.465,0.11171171171171171
Caltech36,0.15,50,Common neighbors,0.76,0.01521216973578863
Caltech36,0.15,50,Jaccard,0.42,0.008406725380304243
Caltech36,0.15,50,Adamic/Adar,0.72,0.014411529223378704
Caltech36,0.15,100,Common neighbors,0.71,0.02842273819055244
Caltech36,0.15,100,Jaccard,0.51,0.020416333066453164
Caltech36,0.15,100,Adamic/Adar,0.7,0.02802241793434748
Caltech36,0.15,200,Common neighbors,0.615,0.04923939151321057
Caltech36,0.15,200,Jaccard,0.475,0.038030424339471576
Caltech36,0.15,200,Adamic/Adar,0.64,0.051240992794235385
Caltech36,0.15,300,Common neighbors,0.5733333333333334,0.0688550840672538
Caltech36,0.15,300,Jaccard,0.45666666666666667,0.05484387510008006
Caltech36,0.15,300,Adamic/Adar,0.5966666666666667,0.07165732586068856
Caltech36,0.15,400,Common neighbors,0.5425,0.08686949559647718
Caltech36,0.15,400,Jaccard,0.4675,0.07485988791032826
Caltech36,0.15,400,Adamic/Adar,0.5525,0.08847077662129704
Caltech36,0.2,50,Common neighbors,0.8,0.012008405884118884
Caltech36,0.2,50,Jaccard,0.32,0.004803362353647553
Caltech36,0.2,50,Adamic/Adar,0.82,0.012308616031221855
Caltech36,0.2,100,Common neighbors,0.81,0.02431702191534074
Caltech36,0.2,100,Jaccard,0.48,0.01441008706094266
Caltech36,0.2,100,Adamic/Adar,0.79,0.023716601621134793
Caltech36,0.2,200,Common neighbors,0.735,0.04413089162413689
Caltech36,0.2,200,Jaccard,0.48,0.02882017412188532
Caltech36,0.2,200,Adamic/Adar,0.75,0.04503152206544581
Caltech36,0.2,300,Common neighbors,0.68,0.06124287000900631
Caltech36,0.2,300,Jaccard,0.5033333333333333,0.045331732212548784
Caltech36,0.2,300,Adamic/Adar,0.68,0.06124287000900631
Caltech36,0.2,400,Common neighbors,0.6375,0.07655358751125788
Caltech36,0.2,400,Jaccard,0.5025,0.06034223956769739
Caltech36,0.2,400,Adamic/Adar,0.6475,0.07775442809966977
Reed98,0.05,50,Common neighbors,0.28,0.014893617021276596
Reed98,0.05,50,Jaccard,0.26,0.013829787234042552
Reed98,0.05,50,Adamic/Adar,0.3,0.015957446808510637
Reed98,0.05,100,Common neighbors,0.25,0.026595744680851064
Reed98,0.05,100,Jaccard,0.24,0.02553191489361702
Reed98,0.05,100,Adamic/Adar,0.25,0.026595744680851064
Reed98,0.05,200,Common neighbors,0.2,0.0425531914893617
Reed98,0.05,200,Jaccard,0.215,0.045744680851063826
Reed98,0.05,200,Adamic/Adar,0.2,0.0425531914893617
Reed98,0.05,300,Common neighbors,0.15666666666666668,0.05
Reed98,0.05,300,Jaccard,0.25333333333333335,0.08085106382978724
Reed98,0.05,300,Adamic/Adar,0.18666666666666668,0.059574468085106386
Reed98,0.05,400,Common neighbors,0.1625,0.06914893617021277
Reed98,0.05,400,Jaccard,0.2325,0.09893617021276596
Reed98,0.05,400,Adamic/Adar,0.1675,0.07127659574468086
Reed98,0.1,50,Common neighbors,0.54,0.014354066985645933
Reed98,0.1,50,Jaccard,0.3,0.007974481658692184
Reed98,0.1,50,Adamic/Adar,0.52,0.013822434875066455
Reed98,0.1,100,Common neighbors,0.43,0.022860180754917598
Reed98,0.1,100,Jaccard,0.27,0.014354066985645933
Reed98,0.1,100,Adamic/Adar,0.42,0.022328548644338118
Reed98,0.1,200,Common neighbors,0.34,0.03615098351940457
Reed98,0.1,200,Jaccard,0.305,0.03242955874534822
Reed98,0.1,200,Adamic/Adar,0.355,0.037745879851143006
Reed98,0.1,300,Common neighbors,0.30666666666666664,0.04891015417331207
Reed98,0.1,300,Jaccard,0.35,0.05582137161084529
Reed98,0.1,300,Adamic/Adar,0.3233333333333333,0.051568314726209465
Reed98,0.1,400,Common neighbors,0.295,0.06273258904837853
Reed98,0.1,400,Jaccard,0.3375,0.07177033492822966
Reed98,0.1,400,Adamic/Adar,0.2975,0.063264221158958
Reed98,0.15,50,Common neighbors,0.52,0.009216589861751152
Reed98,0.15,50,Jaccard,0.38,0.00673520028358738
Reed98,0.15,50,Adamic/Adar,0.54,0.00957107408720312
Reed98,0.15,100,Common neighbors,0.45,0.015951790145338533
Reed98,0.15,100,Jaccard,0.43,0.015242821694434599
Reed98,0.15,100,Adamic/Adar,0.5,0.01772421127259837
Reed98,0.15,200,Common neighbors,0.4,0.02835873803615739
Reed98,0.15,200,Jaccard,0.415,0.029422190712513292
Reed98,0.15,200,Adamic/Adar,0.41,0.029067706487061327
Reed98,0.15,300,Common neighbors,0.3466666666666667,0.03686635944700461
Reed98,0.15,300,Jaccard,0.4166666666666667,0.044310528181495924
Reed98,0.15,300,Adamic/Adar,0.36,0.03828429634881248
Reed98,0.15,400,Common neighbors,0.3175,0.04501949663239986
Reed98,0.15,400,Jaccard,0.42,0.05955334987593052
Reed98,0.15,400,Adamic/Adar,0.3425,0.04856433888691953
Reed98,0.2,50,Common neighbors,0.58,0.007708665603402445
Reed98,0.2,50,Jaccard,0.4,0.00531632110579479
Reed98,0.2,50,Adamic/Adar,0.56,0.007442849548112706
Reed98,0.2,100,Common neighbors,0.57,0.015151515151515152
Reed98,0.2,100,Jaccard,0.46,0.012227538543328018
Reed98,0.2,100,Adamic/Adar,0.57,0.015151515151515152
Reed98,0.2,200,Common neighbors,0.485,0.025784157363104732
Reed98,0.2,200,Jaccard,0.455,0.024189261031366295
Reed98,0.2,200,Adamic/Adar,0.49,0.026049973418394472
Reed98,0.2,300,Common neighbors,0.42333333333333334,0.03375863902179692
Reed98,0.2,300,Jaccard,0.47333333333333333,0.037745879851143006
Reed98,0.2,300,Adamic/Adar,0.43666666666666665,0.03482190324295587
Reed98,0.2,400,Common neighbors,0.4125,0.043859649122807015
Reed98,0.2,400,Jaccard,0.485,0.051568314726209465
Reed98,0.2,400,Adamic/Adar,0.4275,0.045454545454545456
Haverford76,0.05,50,Common neighbors,0.5,0.008392077878482713
Haverford76,0.05,50,Jaccard,0.34,0.005706612957368244
Haverford76,0.05,50,Adamic/Adar,0.48,0.008056394763343404
Haverford76,0.05,100,Common neighbors,0.37,0.012420275260154415
Haverford76,0.05,100,Jaccard,0.33,0.011077542799597181
Haverford76,0.05,100,Adamic/Adar,0.4,0.01342732460557234
Haverford76,0.05,200,Common neighbors,0.345,0.023162134944612285
Haverford76,0.05,200,Jaccard,0.295,0.019805303793219202
Haverford76,0.05,200,Adamic/Adar,0.355,0.023833501174890904
Haverford76,0.05,300,Common neighbors,0.29,0.02920443101711984
Haverford76,0.05,300,Jaccard,0.2633333333333333,0.026518966096005372
Haverford76,0.05,300,Adamic/Adar,0.32,0.032225579053373615
Haverford76,0.05,400,Common neighbors,0.2825,0.03793219201074186
Haverford76,0.05,400,Jaccard,0.2575,0.03457536085934877
Haverford76,0.05,400,Adamic/Adar,0.29,0.03893924135615979
Haverford76,0.1,50,Common neighbors,0.6,0.005035246727089627
Haverford76,0.1,50,Jaccard,0.48,0.004028197381671702
Haverford76,0.1,50,Adamic/Adar,0.6,0.005035246727089627
Haverford76,0.1,100,Common neighbors,0.59,0.009902651896609601
Haverford76,0.1,100,Jaccard,0.5,0.008392077878482713
Haverford76,0.1,100,Adamic/Adar,0.61,0.010238335011748909
Haverford76,0.1,200,Common neighbors,0.48,0.016112789526686808
Haverford76,0.1,200,Jaccard,0.46,0.01544142329640819
Haverford76,0.1,200,Adamic/Adar,0.515,0.017287680429674386
Haverford76,0.1,300,Common neighbors,0.41333333333333333,0.02081235313863713
Haverford76,0.1,300,Jaccard,0.43666666666666665,0.021987244041624707
Haverford76,0.1,300,Adamic/Adar,0.45666666666666667,0.022994293387042633
Haverford76,0.1,400,Common neighbors,0.3825,0.0256797583081571
Haverford76,0.1,400,Jaccard,0.4525,0.030379321920107418
Haverford76,0.1,400,Adamic/Adar,0.425,0.02853306478684122
